#item+id,#country+code+v_iso3,#meta+source+cod_ab_level,#date+created,#date+updated,#org+name+source,#org+name+contributor1,#meta+license,#item+source+type_ckan,#item+source+type_gpkg,#item+source+type_shp,#item+source+type_xlsx
ago,AGO,3,2018-08-30,2020-11-12,www.gadm.org and Instituto Nacional de Estatística (INE - www.ine.gov.ao) - see methodology,OCHA Regional Office for Southern and Eastern Africa (ROSEA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-ago,https://data.fieldmaps.io/cod/extended/ago.gpkg.zip,https://data.fieldmaps.io/cod/extended/ago.shp.zip,https://data.fieldmaps.io/cod/extended/ago.xlsx
alb,ALB,3,2019-12-21,2019-12-21,www.gadm.org and UNHCR,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-alb,https://data.fieldmaps.io/cod/extended/alb.gpkg.zip,https://data.fieldmaps.io/cod/extended/alb.shp.zip,https://data.fieldmaps.io/cod/extended/alb.xlsx
arg,ARG,2,2020-05-04,2020-05-04,Instituto Geografico Nacional and UNHCR,OCHA Latin America and the Caribbean (ROLAC),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-arg,https://data.fieldmaps.io/cod/extended/arg.gpkg.zip,https://data.fieldmaps.io/cod/extended/arg.shp.zip,https://data.fieldmaps.io/cod/extended/arg.xlsx
arm,ARM,2,2014-10-01,2020-09-28,Government of Armenia (various agencies - see metadata),OCHA ROCCA (Closed),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-arm,https://data.fieldmaps.io/cod/extended/arm.gpkg.zip,https://data.fieldmaps.io/cod/extended/arm.shp.zip,https://data.fieldmaps.io/cod/extended/arm.xlsx
atg,ATG,1,2017-09-07,2019-11-28,www.gadm.org,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-atg,https://data.fieldmaps.io/cod/extended/atg.gpkg.zip,https://data.fieldmaps.io/cod/extended/atg.shp.zip,https://data.fieldmaps.io/cod/extended/atg.xlsx
aze,AZE,1,2020-11-24,2020-11-24,www.gadm.org and Open Street Map,OCHA ROCCA (Closed),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-aze,https://data.fieldmaps.io/cod/extended/aze.gpkg.zip,https://data.fieldmaps.io/cod/extended/aze.shp.zip,https://data.fieldmaps.io/cod/extended/aze.xlsx
bdi,BDI,2,2017-11-07,2021-10-07,IGEBU and OCHA Burundi,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-bdi,https://data.fieldmaps.io/cod/extended/bdi.gpkg.zip,https://data.fieldmaps.io/cod/extended/bdi.shp.zip,https://data.fieldmaps.io/cod/extended/bdi.xlsx
ben,BEN,2,2015-08-07,2021-12-31,"Secondary Administrative Level Boundary(SALB) Project, OCHA ROWCA",OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-ben,https://data.fieldmaps.io/cod/extended/ben.gpkg.zip,https://data.fieldmaps.io/cod/extended/ben.shp.zip,https://data.fieldmaps.io/cod/extended/ben.xlsx
bfa,BFA,3,2020-03-26,2020-03-26,Institut Géographique du Burkina,OCHA Burkina Faso,Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-bfa,https://data.fieldmaps.io/cod/extended/bfa.gpkg.zip,https://data.fieldmaps.io/cod/extended/bfa.shp.zip,https://data.fieldmaps.io/cod/extended/bfa.xlsx
bgd,BGD,4,2018-04-25,2020-12-18,Bangladesh Bureau of Statistics (BBS),OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-bgd,https://data.fieldmaps.io/cod/extended/bgd.gpkg.zip,https://data.fieldmaps.io/cod/extended/bgd.shp.zip,https://data.fieldmaps.io/cod/extended/bgd.xlsx
